no,postal_code,urban,area_code,sub_district,dt2,city,province
1,91342,Arjo Sari (Arjosari),76.04.03.2013,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
2,91342,Bakka-Bakka,76.04.03.2012,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
3,91342,Banua Baru,76.04.03.2006,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
4,91342,Bumiayu,76.04.03.2004,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
5,91342,Bumimulyo (Bumi Mulyo),76.04.03.2010,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
6,91342,Campurjo,76.04.03.2009,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
7,91342,Galeson (Geleso),76.04.03.2014,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
8,91342,Kebunsari,76.04.03.2005,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
9,91342,Nepo,76.04.03.2007,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
10,91342,Sidodadi,76.04.03.1001,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
11,91342,Sidorejo,76.04.03.2002,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
12,91342,Sugihwaras (Sugih Waras),76.04.03.2008,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
13,91342,Sumberejo (Sumberjo),76.04.03.2003,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
14,91342,Tumpiling,76.04.03.2011,Wonomulyo,Kabupaten,Polewali Mandar,Sulawesi Barat
15,91454,Kabiraan,76.05.05.2001,Ulumanda (Ulumunda),Kabupaten,Majene,Sulawesi Barat
16,91454,Panggalo,76.05.05.2008,Ulumanda (Ulumunda),Kabupaten,Majene,Sulawesi Barat
17,91454,Popenga,76.05.05.2006,Ulumanda (Ulumunda),Kabupaten,Majene,Sulawesi Barat
18,91454,Salutambung,76.05.05.2005,Ulumanda (Ulumunda),Kabupaten,Majene,Sulawesi Barat
19,91454,Sambabo,76.05.05.2002,Ulumanda (Ulumunda),Kabupaten,Majene,Sulawesi Barat
20,91454,Sulai,76.05.05.2007,Ulumanda (Ulumunda),Kabupaten,Majene,Sulawesi Barat
21,91454,Tandeallo,76.05.05.2003,Ulumanda (Ulumunda),Kabupaten,Majene,Sulawesi Barat
22,91454,Ulumanda,76.05.05.2004,Ulumanda (Ulumunda),Kabupaten,Majene,Sulawesi Barat
23,91355,Ambopadang (Ambo Padang),76.04.05.2002,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
24,91355,Arabua,76.04.05.2010,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
25,91355,Besoangin,76.04.05.2005,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
26,91355,Besoangin Utara,76.04.05.2011,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
27,91355,Peburru,76.04.05.2007,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
28,91355,Piriang Tapiko,76.04.05.2006,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
29,91355,Poda,76.04.05.2012,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
30,91355,Pollewani,76.04.05.2009,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
31,91355,Ratte,76.04.05.2004,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
32,91355,Taloba,76.04.05.2008,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
33,91355,Taramanu,76.04.05.1001,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
34,91355,Taramanu Tua,76.04.05.2013,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
35,91355,Tubbi,76.04.05.2003,"Tutar (Tubbi Taramanu, Tutallu)",Kabupaten,Polewali Mandar,Sulawesi Barat
36,91455,Bonde Bonde,76.05.07.2005,Tubo Sendana,Kabupaten,Majene,Sulawesi Barat
37,91455,Onang (Onang Selatan),76.05.07.2001,Tubo Sendana,Kabupaten,Majene,Sulawesi Barat
38,91455,Onang Utara,76.05.07.2003,Tubo Sendana,Kabupaten,Majene,Sulawesi Barat
39,91455,Tubo,76.05.07.2002,Tubo Sendana,Kabupaten,Majene,Sulawesi Barat
40,91455,Tubo Poang,76.05.07.2007,Tubo Sendana,Kabupaten,Majene,Sulawesi Barat
41,91455,Tubo Selatan,76.05.07.2004,Tubo Sendana,Kabupaten,Majene,Sulawesi Barat
42,91455,Tubo Tengah,76.05.07.2006,Tubo Sendana,Kabupaten,Majene,Sulawesi Barat
43,91464,Bambamanurung,76.06.04.2012,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
44,91464,Budong-Budong,76.06.04.2001,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
45,91464,Kabubu,76.06.04.2004,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
46,91464,Pangalloang,76.06.04.2014,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
47,91464,Paraili,76.06.04.2008,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
48,91464,Salulekbo (Salulebo),76.06.04.2013,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
49,91464,Salupangkang,76.06.04.2009,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
50,91464,Salupangkang IV,76.06.04.2010,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
51,91464,Sinabatta,76.06.04.2015,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
52,91464,Tabolang,76.06.04.2007,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
53,91464,Tangkou (Tangkau),76.06.04.2006,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
54,91464,Tappilina,76.06.04.2011,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
55,91464,Topoyo,76.06.04.2002,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
56,91464,Tumbu,76.06.04.2003,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
57,91464,Waeputeh (Wae Puteh),76.06.04.2005,Topoyo,Kabupaten,Mamuju Tengah,Sulawesi Barat
58,91564,Buana Sakti,76.02.11.2003,Tommo,Kabupaten,Mamuju,Sulawesi Barat
59,91564,Campaloga,76.02.11.2002,Tommo,Kabupaten,Mamuju,Sulawesi Barat
60,91564,Kakullasang (Kakulasang / Kakullasan),76.02.11.2008,Tommo,Kabupaten,Mamuju,Sulawesi Barat
61,91564,Kalepu,76.02.11.2010,Tommo,Kabupaten,Mamuju,Sulawesi Barat
62,91564,Leling,76.02.11.2009,Tommo,Kabupaten,Mamuju,Sulawesi Barat
63,91564,Leling Barat,76.02.11.2012,Tommo,Kabupaten,Mamuju,Sulawesi Barat
64,91564,Leling Utara,76.02.11.2013,Tommo,Kabupaten,Mamuju,Sulawesi Barat
65,91564,Malino,76.02.11.2007,Tommo,Kabupaten,Mamuju,Sulawesi Barat
66,91564,Rantemario (Rante Mario),76.02.11.2006,Tommo,Kabupaten,Mamuju,Sulawesi Barat
67,91564,Saludengen,76.02.11.2014,Tommo,Kabupaten,Mamuju,Sulawesi Barat
68,91564,Sandana,76.02.11.2011,Tommo,Kabupaten,Mamuju,Sulawesi Barat
69,91564,Tamejarra (Tammejarra),76.02.11.2005,Tommo,Kabupaten,Mamuju,Sulawesi Barat
70,91564,Tamemongga,76.02.11.2004,Tommo,Kabupaten,Mamuju,Sulawesi Barat
71,91564,Tommo,76.02.11.2001,Tommo,Kabupaten,Mamuju,Sulawesi Barat
72,91463,Bambadaru,76.06.01.2006,Tobadak,Kabupaten,Mamuju Tengah,Sulawesi Barat
73,91463,Batu Parigi,76.06.01.2005,Tobadak,Kabupaten,Mamuju Tengah,Sulawesi Barat
74,91463,Mahahe,76.06.01.2001,Tobadak,Kabupaten,Mamuju Tengah,Sulawesi Barat
75,91463,Palongaan (Polongaan),76.06.01.2004,Tobadak,Kabupaten,Mamuju Tengah,Sulawesi Barat
76,91463,Saloadak,76.06.01.2008,Tobadak,Kabupaten,Mamuju Tengah,Sulawesi Barat
77,91463,Salobaja (Sulobaja),76.06.01.2002,Tobadak,Kabupaten,Mamuju Tengah,Sulawesi Barat
78,91463,Sejati,76.06.01.2007,Tobadak,Kabupaten,Mamuju Tengah,Sulawesi Barat
79,91463,Tobadak,76.06.01.2003,Tobadak,Kabupaten,Mamuju Tengah,Sulawesi Barat
80,91356,Batulaya,76.04.01.2007,Tinambung,Kabupaten,Polewali Mandar,Sulawesi Barat
81,91356,Galung Lombok,76.04.01.2005,Tinambung,Kabupaten,Polewali Mandar,Sulawesi Barat
82,91356,Karama,76.04.01.2002,Tinambung,Kabupaten,Polewali Mandar,Sulawesi Barat
83,91356,Lekopadis,76.04.01.2004,Tinambung,Kabupaten,Polewali Mandar,Sulawesi Barat
84,91356,Sepabatu (Sepa Batu),76.04.01.2008,Tinambung,Kabupaten,Polewali Mandar,Sulawesi Barat
85,91356,Tandung,76.04.01.2006,Tinambung,Kabupaten,Polewali Mandar,Sulawesi Barat
86,91356,Tangnga-Tangnga,76.04.01.2003,Tinambung,Kabupaten,Polewali Mandar,Sulawesi Barat
87,91356,Tinambung,76.04.01.1001,Tinambung,Kabupaten,Polewali Mandar,Sulawesi Barat
88,91579,Jengeng Raya,76.01.08.2005,Tikke Raya,Kabupaten,Pasangkayu (Mamuju Utara),Sulawesi Barat
89,91579,Lariang,76.01.08.2003,Tikke Raya,Kabupaten,Pasangkayu (Mamuju Utara),Sulawesi Barat
90,91579,Makmur Jaya,76.01.08.2002,Tikke Raya,Kabupaten,Pasangkayu (Mamuju Utara),Sulawesi Barat
91,91579,Pajalele (Pakawa),76.01.08.2004,Tikke Raya,Kabupaten,Pasangkayu (Mamuju Utara),Sulawesi Barat
92,91579,Tikke,76.01.08.2001,Tikke Raya,Kabupaten,Pasangkayu (Mamuju Utara),Sulawesi Barat
93,91368,Kariango,76.03.14.2003,Tawalian,Kabupaten,Mamasa,Sulawesi Barat
94,91368,Rantetangnga (Rante Tangnga),76.03.14.2004,Tawalian,Kabupaten,Mamasa,Sulawesi Barat
95,91368,Tawalian,76.03.14.1001,Tawalian,Kabupaten,Mamasa,Sulawesi Barat
96,91368,Tawalian Timur,76.03.14.2002,Tawalian,Kabupaten,Mamasa,Sulawesi Barat
97,91341,Banato Rejo,76.04.07.2014,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
98,91341,Batu,76.04.07.2005,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
99,91341,Bussu,76.04.07.2010,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
100,91341,Dakka,76.04.07.2004,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
101,91341,Jambu Malea,76.04.07.2012,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
102,91341,Kalimbua,76.04.07.2013,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
103,91341,Kurrak,76.04.07.2009,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
104,91341,Palatta,76.04.07.2007,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
105,91341,Pelitakan,76.04.07.1001,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
106,91341,Rappang,76.04.07.2003,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
107,91341,Riso,76.04.07.2006,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
108,91341,Tapango,76.04.07.2002,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
109,91341,Tapango Barat,76.04.07.2008,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
110,91341,Tuttula,76.04.07.2011,Tapango,Kabupaten,Polewali Mandar,Sulawesi Barat
111,91552,Ahu,76.02.13.2007,Tapalang Barat,Kabupaten,Mamuju,Sulawesi Barat
112,91552,Dungkait,76.02.13.2001,Tapalang Barat,Kabupaten,Mamuju,Sulawesi Barat
113,91552,Labuang Rano,76.02.13.2003,Tapalang Barat,Kabupaten,Mamuju,Sulawesi Barat
114,91552,Lebani,76.02.13.2002,Tapalang Barat,Kabupaten,Mamuju,Sulawesi Barat
115,91552,Pangasaan,76.02.13.2006,Tapalang Barat,Kabupaten,Mamuju,Sulawesi Barat
116,91552,Pasabu (Pasa Bu),76.02.13.2004,Tapalang Barat,Kabupaten,Mamuju,Sulawesi Barat
117,91552,Tanete Pao,76.02.13.2005,Tapalang Barat,Kabupaten,Mamuju,Sulawesi Barat
118,91551,Bela,76.02.02.2009,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
119,91551,Dayanginna,76.02.02.1014,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
120,91551,Galung,76.02.02.1001,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
121,91551,Kasambang,76.02.02.1002,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
122,91551,Kopeang,76.02.02.2013,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
123,91551,Orobatu,76.02.02.2003,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
124,91551,Rantedoda,76.02.02.2012,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
125,91551,Taan (Taang / Ta'an),76.02.02.2010,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
126,91551,Takandeang,76.02.02.2006,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
127,91551,Tampalang,76.02.02.2011,Tapalang,Kabupaten,Mamuju,Sulawesi Barat
128,91367,Ballabatu,76.03.09.2010,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
129,91367,Kanan,76.03.09.2015,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
130,91367,Malabo,76.03.09.2001,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
131,91367,Mannababa,76.03.09.2008,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
132,91367,Mesakada,76.03.09.2009,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
133,91367,Minake,76.03.09.1011,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
134,91367,Pambe,76.03.09.2012,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
135,91367,Parondobulawan,76.03.09.2006,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
136,91367,Salurano,76.03.09.2013,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
137,91367,Sindagamanik,76.03.09.2005,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
138,91367,Talimbung,76.03.09.2014,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
139,91367,Tamalantik,76.03.09.2007,Tanduk Kalua,Kabupaten,Mamasa,Sulawesi Barat
140,91450,Awo,76.05.06.2007,Tammerodo Sendana (Tammeredo Sendana),Kabupaten,Majene,Sulawesi Barat
141,91450,Manyamba,76.05.06.2006,Tammerodo Sendana (Tammeredo Sendana),Kabupaten,Majene,Sulawesi Barat
142,91450,Seppong,76.05.06.2001,Tammerodo Sendana (Tammeredo Sendana),Kabupaten,Majene,Sulawesi Barat
143,91450,Tallambalao,76.05.06.2004,Tammerodo Sendana (Tammeredo Sendana),Kabupaten,Majene,Sulawesi Barat
144,91450,Tammerodo,76.05.06.2002,Tammerodo Sendana (Tammeredo Sendana),Kabupaten,Majene,Sulawesi Barat
145,91450,Tammerodo Utara,76.05.06.2005,Tammerodo Sendana (Tammeredo Sendana),Kabupaten,Majene,Sulawesi Barat
146,91450,Ulidang,76.05.06.2003,Tammerodo Sendana (Tammeredo Sendana),Kabupaten,Majene,Sulawesi Barat
147,91372,Burana,76.03.05.2009,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
148,91372,Gandang Dewata,76.03.05.2008,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
149,91372,Lakahang,76.03.05.1001,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
150,91372,Lakahang Utama,76.03.05.2015,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
151,91372,Malatiro,76.03.05.2003,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
152,91372,Pangandaran,76.03.05.2011,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
153,91372,Periangan,76.03.05.2002,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
154,91372,Peu' (Peu),76.03.05.2013,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
155,91372,Salubakka,76.03.05.2010,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
156,91372,Saluleang,76.03.05.2005,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
157,91372,Tabulahan,76.03.05.2004,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
158,91372,Talopak,76.03.05.2012,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
159,91372,Tampak Kurra,76.03.05.2007,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
160,91372,Timoro,76.03.05.2014,Tabulahan,Kabupaten,Mamasa,Sulawesi Barat
161,91364,Bakadisura,76.03.10.2007,Tabang,Kabupaten,Mamasa,Sulawesi Barat
162,91364,Kalama,76.03.10.2006,Tabang,Kabupaten,Mamasa,Sulawesi Barat
163,91364,Masupu,76.03.10.2005,Tabang,Kabupaten,Mamasa,Sulawesi Barat
164,91364,Salukona,76.03.10.2008,Tabang,Kabupaten,Mamasa,Sulawesi Barat
165,91364,Tabang,76.03.10.1001,Tabang,Kabupaten,Mamasa,Sulawesi Barat
166,91364,Tabang Barat,76.03.10.2004,Tabang,Kabupaten,Mamasa,Sulawesi Barat
167,91364,Tadokalua,76.03.10.2003,Tabang,Kabupaten,Mamasa,Sulawesi Barat
168,91360,Banea,76.03.06.2009,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
169,91360,Batang Uru,76.03.06.2003,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
170,91360,Batangnguru Timur,76.03.06.2007,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
171,91360,Rante Kamase,76.03.06.2010,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
172,91360,Salubalo,76.03.06.2008,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
173,91360,Sasakan,76.03.06.2004,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
174,91360,Sibanawa,76.03.06.2006,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
175,91360,Sumarorong,76.03.06.1001,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
176,91360,Tabone,76.03.06.1002,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
177,91360,Tadisi,76.03.06.2005,Sumarorong,Kabupaten,Mamasa,Sulawesi Barat
178,91512,Botteng,76.02.12.2003,Simboro (Simboro dan Kepulauan),Kabupaten,Mamuju,Sulawesi Barat
179,91512,Botteng Utara,76.02.12.2007,Simboro (Simboro dan Kepulauan),Kabupaten,Mamuju,Sulawesi Barat
180,91512,Pati'di,76.02.12.2009,Simboro (Simboro dan Kepulauan),Kabupaten,Mamuju,Sulawesi Barat
181,91512,Rangas,76.02.12.1002,Simboro (Simboro dan Kepulauan),Kabupaten,Mamuju,Sulawesi Barat
182,91512,Saletto (Salletto),76.02.12.2004,Simboro (Simboro dan Kepulauan),Kabupaten,Mamuju,Sulawesi Barat
183,91512,Simboro,76.02.12.1001,Simboro (Simboro dan Kepulauan),Kabupaten,Mamuju,Sulawesi Barat
184,91513,Sumare,76.02.12.2005,Simboro (Simboro dan Kepulauan),Kabupaten,Mamuju,Sulawesi Barat
185,91512,Tapandullu,76.02.12.2008,Simboro (Simboro dan Kepulauan),Kabupaten,Mamuju,Sulawesi Barat
186,91365,Lisuan Ada,76.03.08.2008,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
187,91365,Malangkena Padang,76.03.08.2012,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
188,91365,Malimbong,76.03.08.2013,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
189,91365,Marampan Orobua,76.03.08.2014,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
190,91365,Orobua,76.03.08.2002,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
191,91365,Orobua Selatan,76.03.08.2010,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
192,91365,Orobua Timur,76.03.08.2004,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
193,91365,Paladan,76.03.08.2003,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
194,91365,Rante Puang,76.03.08.2006,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
195,91365,Satenetean,76.03.08.2007,Sesenapadang,Kabupaten,Mamasa,Sulawesi Barat
196,91452,Banua Sendana,76.05.03.2022,Sendana,Kabupaten,Majene,Sulawesi Barat
197,91452,Binanga,76.05.03.2016,Sendana,Kabupaten,Majene,Sulawesi Barat
198,91452,Bukit Samang,76.05.03.2026,Sendana,Kabupaten,Majene,Sulawesi Barat
199,91452,Lalatedzong,76.05.03.2015,Sendana,Kabupaten,Majene,Sulawesi Barat
200,91452,Leppangang,76.05.03.2019,Sendana,Kabupaten,Majene,Sulawesi Barat
201,91452,Limboro Rambu-Rambu,76.05.03.2024,Sendana,Kabupaten,Majene,Sulawesi Barat
202,91452,Limbua,76.05.03.2025,Sendana,Kabupaten,Majene,Sulawesi Barat
203,91452,Mosso,76.05.03.1001,Sendana,Kabupaten,Majene,Sulawesi Barat
204,91452,Mosso Dhua,76.05.03.1002,Sendana,Kabupaten,Majene,Sulawesi Barat
205,91452,Paminggalan,76.05.03.2018,Sendana,Kabupaten,Majene,Sulawesi Barat
206,91452,Pundau,76.05.03.2020,Sendana,Kabupaten,Majene,Sulawesi Barat
207,91452,Puttada,76.05.03.2017,Sendana,Kabupaten,Majene,Sulawesi Barat
208,91452,Sendana,76.05.03.2021,Sendana,Kabupaten,Majene,Sulawesi Barat
209,91452,Tallubanua,76.05.03.2007,Sendana,Kabupaten,Majene,Sulawesi Barat
210,91452,Tallubanua Utara,76.05.03.2023,Sendana,Kabupaten,Majene,Sulawesi Barat
211,91452,Totolisi Sendana,76.05.03.2004,Sendana,Kabupaten,Majene,Sulawesi Barat
212,91576,Bulu Mario,76.01.04.2003,Sarudu,Kabupaten,Pasangkayu (Mamuju Utara),Sulawesi Barat
213,91576,Doda,76.01.04.2012,Sarudu,Kabupaten,Pasangkayu (Mamuju Utara),Sulawesi Barat
